original_text,normalized_text
حكاية الإنسان، يا عزيزي، مع الطيران، زي ما انت عارف كدا، عمرها آلاف السنين،,حكايه الانسان، يا عزيزي، مع الطيران، زي ما انت عارف كدا، عمرها الاف السنين،
بدأت بنفسنة على الطيور اللي موجودة حوالينا،,بدات بنفسنه علي الطيور اللي موجوده حوالينا،
النسر كان ماشي كدا في حاله،,النسر كان ماشي كدا في حاله،
لقى نفسه بيـ... كداهو، فيه إنسان بيُقرّ عليه!,لقي نفسه بي كداهو، فيه انسان بيُقرّ عليه!
يبقى الطائر من دُول تايه في السرب، مش عارف هيهاجم يمين ولّا شمال،,يبقي الطاير من دُول تايه في السرب، مش عارف هيهاجم يمين ولّا شمال،
"وفيه إنسان تحت عمّال بيقول: ""يا بخته، طاير، وأنا لأ!""","وفيه انسان تحت عمّال بيقول: ""يا بخته، طاير، وانا لا!"""
في الأول، يا عزيزي، شعور الإنسان بالطيور كان شعور مراقب،,في الاول، يا عزيزي، شعور الانسان بالطيور كان شعور مراقب،
حد ما قدرش يختبر فكرة أو حتى يجربها،,حد ما قدرش يختبر فكره او حتي يجربها،
"ولكن كل دا بيتغيّر، لمّا الأخوان ""رايت"" بيعملوا أول طيارة سنة 1903.","ولكن كل دا بيتغيّر، لمّا الاخوان ""رايت"" بيعملوا اول طياره سنه 1903."
قد تظن إن كدا الإنسانية اطمنت،,قد تظن ان كدا الانسانيه اطمنت،
هنطير زي الطيور، الحمد لله،,هنطير زي الطيور، الحمد لله،
خلاص، ما بقاش فيه حدود، نقدر نستكشف الكوكب أكتر.,خلاص، ما بقاش فيه حدود، نقدر نستكشف الكوكب اكتر.
ولكن، يا عزيزي، الإنسانية بتحول كل حاجة إما لفلوس، أو نفوذ،,ولكن، يا عزيزي، الانسانيه بتحول كل حاجه اما لفلوس، او نفوذ،
عشان بعد 4 سنين، نشوف سنة 1907,عشان بعد 4 سنين، نشوف سنه 1907
"الجيش الأمريكي بيعمل قسم اسمه ""ماكينات الجو""، الـAir Machines،","الجيش الامريكي بيعمل قسم اسمه ""ماكينات الجو""، ال ،"
للأسف، يا عزيزي، الحروب وقود التكنولوجيا،,للاسف، يا عزيزي، الحروب وقود التكنولوجيا،
من غير وجود حروب وبشر بيتصارعوا،,من غير وجود حروب وبشر بيتصارعوا،
العِلم ما كانش هيتطور بهذا الشكل،,العِلم ما كانش هيتطور بهذا الشكل،
ما كناش هنطلع القمر، ما كناش هنستثمر في الطيارات،,ما كناش هنطلع القمر، ما كناش هنستثمر في الطيارات،
ما كناش هنعمل حاجات كتير أوي،,ما كناش هنعمل حاجات كتير اوي،
اكتشاف الكون وما حوله كان خناقة،,اكتشاف الكون وما حوله كان خناقه،
"عشان نشوف مين فتوة الكوكب بين ""أمريكا"" و""روسيا""!","عشان نشوف مين فتوه الكوكب بين ""امريكا"" و""روسيا""!"
نتحرك 4 سنين، نوصل لسنة 1911،,نتحرك 4 سنين، نوصل لسنه 1911،
"الوقت اللي ""إيطاليا"" فيه بتحتل ""ليبيا""، اللي كانت تابعة للدولة العثمانية،","الوقت اللي ""ايطاليا"" فيه بتحتل ""ليبيا""، اللي كانت تابعه للدوله العثمانيه،"
"بنقرا جواب بعته الملازم الإيطالي ""جوليو جافوتي""،","بنقرا جواب بعته الملازم الايطالي ""جوليو جافوتي""،"
بعته لمين؟ بعته لباباه.,بعته لمين؟ بعته لباباه.
الملازم، يا عزيزي، بيحكي عن شعور غريب،,الملازم، يا عزيزي، بيحكي عن شعور غريب،
"""أنا النهاردة رميت قنابل من الطيارة","""انا النهارده رميت قنابل من الطياره"
دي حاجة جامدة، أقدر أجربها في الأتراك،,دي حاجه جامده، اقدر اجربها في الاتراك،
تبقى ماشي كدا فوق، بتحلّق،,تبقي ماشي كدا فوق، بتحلّق،
ترمي على الناس اللي تحت قنابل، يموتوا!,ترمي علي الناس اللي تحت قنابل، يموتوا!
"لا انت قربتلهم، ولا هما قربولك.""","لا انت قربتلهم، ولا هما قربولك."""
"""جوليو""، يا عزيزي، كان راكب طيارة اسمها ""إيتريك تاوب""،","""جوليو""، يا عزيزي، كان راكب طياره اسمها ""ايتريك تاوب""،"
ودي طيارة خشب، تبان كأنها لعبة،,ودي طياره خشب، تبان كانها لعبه،
ولكن الطيار دا كان معاه 4 قنابل على متن هذه الطيارة،,ولكن الطيار دا كان معاه 4 قنابل علي متن هذه الطياره،
خُد بالك، كانوا معاه هو، مش في جسم الطيارة.,خُد بالك، كانوا معاه هو، مش في جسم الطياره.
"وصحيح إن ""جوليو"" رمى القنابل دي بإيده،","وصحيح ان ""جوليو"" رمي القنابل دي بايده،"
ولف ورجع تاني، من غير ما يقتل أي حد،,ولف ورجع تاني، من غير ما يقتل اي حد،
إلا إن هذه اللحظة كانت لحظة صادمة في عالم الحروب،,الا ان هذه اللحظه كانت لحظه صادمه في عالم الحروب،
أصل هي حاجة من الاتنين، يا بنحارب كدا، فيه سيوف،,اصل هي حاجه من الاتنين، يا بنحارب كدا، فيه سيوف،
يا بنحارب كدا، لكن إيه كدا دي؟!,يا بنحارب كدا، لكن ايه كدا دي
زمان، الطيارات كان هدفها إنها تعمل استطلاع بس، مش تهاجم،,زمان، الطيارات كان هدفها انها تعمل استطلاع بس، مش تهاجم،
"فالدول لمّا شافت هذه الفكرة، قالت: ""إيه دا؟! حلو أوي!""","فالدول لمّا شافت هذه الفكره، قالت: ""ايه دا حلو اوي!"""
وقتها، خُد بالك، الحرب العالمية الأولى كانت على وشك إنها تبدأ،,وقتها، خُد بالك، الحرب العالميه الاولي كانت علي وشك انها تبدا،
احنا داخلين على Season، موسمين، لحد دلوقتي!,احنا داخلين علي ، موسمين، لحد دلوقتي!
وبالفعل، يا عزيزي، الحرب بدأت من هنا، والسما اتملت طيارات،,وبالفعل، يا عزيزي، الحرب بدات من هنا، والسما اتملت طيارات،
وبالتدريج، الطيارات دي بدأت ترمي قنابل من فوق،,وبالتدريج، الطيارات دي بدات ترمي قنابل من فوق،
وتدعم الجنود اللي على الأرض.,وتدعم الجنود اللي علي الارض.
وفي خلال وقت قليل جدًا، حصل تطور كبير،,وفي خلال وقت قليل جدًا، حصل تطور كبير،
الطيارات بدأت تحارب بعض في السما،,الطيارات بدات تحارب بعض في السما،
كأنها كلاب سعرانة بتجري ورا بعض،,كانها كلاب سعرانه بتجري ورا بعض،
وبالفعل، المعارك دي هتتسمى بالـDogfights.,وبالفعل، المعارك دي هتتسمي بال .
هنا، يا عزيزي، تاني، كل حاجة اتغيرت،,هنا، يا عزيزي، تاني، كل حاجه اتغيرت،
الطيارات ما عادتش جهاز استطلاع بس،,الطيارات ما عادتش جهاز استطلاع بس،
ما عادتش حاجة بترمي قنابل بس،,ما عادتش حاجه بترمي قنابل بس،
لأ، دي حاجات بتحارب بعض،,لا، دي حاجات بتحارب بعض،
الطيارات أصبحت سلاح مستقل بذاته، مش بس وسائل دعم.,الطيارات اصبحت سلاح مستقل بذاته، مش بس وسايل دعم.
بنبص تحت، بنلاقي الجيش بيتحرك في مجموعات كبيرة،,بنبص تحت، بنلاقي الجيش بيتحرك في مجموعات كبيره،
آلاف وآلاف بيموتوا في الخنادق وعلى الجبهة،,الاف والاف بيموتوا في الخنادق وعلي الجبهه،
بينما، فوق في السما، الطيارات عمّالة تلف وتدور وتعمل مناورات،,بينما، فوق في السما، الطيارات عمّاله تلف وتدور وتعمل مناورات،
وكل طيار مركّز في معركة ضد طيار تاني،,وكل طيار مركّز في معركه ضد طيار تاني،
الموضوع بقى زي ما يكون مبارزة،,الموضوع بقي زي ما يكون مبارزه،
وبالتدريج، الطيارين بقوا رمز للمهارة والنبل والشجاعة،,وبالتدريج، الطيارين بقوا رمز للمهاره والنبل والشجاعه،
"واتسموا بـ""فرسان السماء""، Knights of The Air،","واتسموا ب""فرسان السماء""، ،"
ولمّا بينزلوا على الأرض، يعملوا Landing،,ولمّا بينزلوا علي الارض، يعملوا ،
بيجدوا نفسهم نجوم وسط المجتمع،,بيجدوا نفسهم نجوم وسط المجتمع،
أساميهم معروفة، وكل واحد له الـRecord بتاعه،,اساميهم معروفه، وكل واحد له ال بتاعه،
وقّع كام طيارة قبل كدا.,وقّع كام طياره قبل كدا.
والطيارين بدأوا يعيشوا دور النجوم ودور الفرسان،,والطيارين بداوا يعيشوا دور النجوم ودور الفرسان،
وبدأوا، يا عزيزي، يعملوا حاجات غريبة جدًا،,وبداوا، يا عزيزي، يعملوا حاجات غريبه جدًا،
لدرجة، يا عزيزي، إن مرة طيار ألماني,لدرجه، يا عزيزي، ان مره طيار الماني
أجبر طيارة بريطانية إنها تهبط،,اجبر طياره بريطانيه انها تهبط،
فنزل الاتنين طيارين سلّموا على بعض،,فنزل الاتنين طيارين سلّموا علي بعض،
وشربوا كوبايتين قهوة، وقعدوا يدردشوا عن الطيران،,وشربوا كوبايتين قهوه، وقعدوا يدردشوا عن الطيران،
وفيه إيه؟ حرب عالمية شغالة!,وفيه ايه؟ حرب عالميه شغاله!
اللي بأحاول أقوله، يا عزيزي، كأن انت بتلاعب فريق,اللي باحاول اقوله، يا عزيزي، كان انت بتلاعب فريق
"فالفريق جاب فيك ""جول""،","فالفريق جاب فيك ""جول""،"
"فانت قُلت: ""الله! دا (جول) حلو! عرّفني ازاي جيبته؟!""","فانت قُلت: ""الله! دا جول حلو! عرّفني ازاي جيبته """
مش مهم نهائي القرن اللي شغال دا على مين هيحكم الكوكب، دي تفاصيل!,مش مهم نهايي القرن اللي شغال دا علي مين هيحكم الكوكب، دي تفاصيل!
دا كمان، على مستوى الجيش، ابتدوا يبصوا لسلاح الطيران بفخر،,دا كمان، علي مستوي الجيش، ابتدوا يبصوا لسلاح الطيران بفخر،
ومن هنا، بدأ سباق الطيارات الحربية،,ومن هنا، بدا سباق الطيارات الحربيه،
وأصبح الهدف حاجة واحدة،,واصبح الهدف حاجه واحده،
"""احنا محتاجين نطور طيارات، عشان تضرب قنابل،","""احنا محتاجين نطور طيارات، عشان تضرب قنابل،"
"وعشان تكسب في المبارزات الفردية.""","وعشان تكسب في المبارزات الفرديه."""
الإنجليز عملوا الـSupermarine Spitfire،,الانجليز عملوا ال ،
طوروا المحرك، وخلّوا الجناحات شكلها بيضاوي،,طوروا المحرك، وخلّوا الجناحات شكلها بيضاوي،
عشان الطيارة تعمل إيه؟ تقدر تلفّ وتعمل غُرَز ودورانات على الضيّق.,عشان الطياره تعمل ايه؟ تقدر تلفّ وتعمل غُرَز ودورانات علي الضيّق.
اليابانيين، على الناحية التانية، عملوا الـMitsubishi Zero،,اليابانيين، علي الناحيه التانيه، عملوا ال ،
خلّوا الطيارات خفيفة،,خلّوا الطيارات خفيفه،
عشان تقدر تعمل دورانات مستحيلة قُدّام الأمريكان،,عشان تقدر تعمل دورانات مستحيله قُدّام الامريكان،
"أول طيارة ""ميني ستيريو"" وسط السُحُب!","اول طياره ""ميني ستيريو"" وسط السُحُب!"
وعشان الطيارة خفيفة، ما بقيتش تحتاج بنزين أكتر،,وعشان الطياره خفيفه، ما بقيتش تحتاج بنزين اكتر،
فتقدر تقعد فترات طويلة في الجو.,فتقدر تقعد فترات طويله في الجو.
بعدها، الأمريكان بيعملوا الـF-4 Phantom،,بعدها، الامريكان بيعملوا ال -4 ،
ودي، يا عزيزي، نعرفها كويس أوي، فين؟ في منطقتنا،,ودي، يا عزيزي، نعرفها كويس اوي، فين؟ في منطقتنا،
"ليه؟ لأن ""إسرائيل"" كانت بتستعملها يوم 14 أكتوبر سنة 73،","ليه؟ لان ""اسراييل"" كانت بتستعملها يوم 14 اكتوبر سنه 73،"
عملوا هجوم جوي بـ120 طيارة,عملوا هجوم جوي ب120 طياره
"على مطارات ""المنصورة"" و""طنطا""،","علي مطارات ""المنصوره"" و""طنطا""،"
بعد ما كانوا بيترنحوا، كانوا بيحاولوا يكسبوا بأي شكل من الأشكال،,بعد ما كانوا بيترنحوا، كانوا بيحاولوا يكسبوا باي شكل من الاشكال،
"""في محاولة إن احنا ننقذ الموقف!","""في محاوله ان احنا ننقذ الموقف!"
عايزين نحفظ ماء وجهنا بقى!,عايزين نحفظ ماء وجهنا بقي!
"الخراطيم جاية من كل حتة!""","الخراطيم جايه من كل حته!"""
"اللي بيحصل، يا عزيزي، إن ""مصر"" بتحاول تواجه هذا الهجوم الضخم","اللي بيحصل، يا عزيزي، ان ""مصر"" بتحاول تواجه هذا الهجوم الضخم"
"بطيارات ""ميج 21"" الروسية،","بطيارات ""ميج 21"" الروسيه،"
"اللي صحيح كانت أقدم من الـ""فانتوم""،","اللي صحيح كانت اقدم من ال""فانتوم""،"
ولكن افتكر إن احنا في مبارزة،,ولكن افتكر ان احنا في مبارزه،
Actually، شطارة الطيار هي اللي بتكسب، مش الطيارة.,، شطاره الطيار هي اللي بتكسب، مش الطياره.
المعركة، يا عزيزي، فضلت شغالة 53 دقيقة متواصلة،,المعركه، يا عزيزي، فضلت شغاله 53 دقيقه متواصله،
وبقت، يا عزيزي، دا Record احنا ما نعرفش عنه حاجة،,وبقت، يا عزيزي، دا احنا ما نعرفش عنه حاجه،
أطول معركة جوية في التاريخ،,اطول معركه جويه في التاريخ،
"وانتهت، يا عزيزي، بفشل ""إسرائيل"" وانسحابها.","وانتهت، يا عزيزي، بفشل ""اسراييل"" وانسحابها."
"""علّمونا في مدرستنا ازاي نحبها""","""علّمونا في مدرستنا ازاي نحبها"""
خلّيني، يا عزيزي، أقولّك على معلومة هتفاجئك جدًا،,خلّيني، يا عزيزي، اقولّك علي معلومه هتفاجيك جدًا،
"الـ""فانتوم""، اللي بأكلمك عنها دي،","ال""فانتوم""، اللي باكلمك عنها دي،"
سرعتها 2.2 ماخ.,سرعتها 2.2 ماخ.
"""ياه يا (أبو حميد)، 2.2...! يعني إيه دا يا (أبو حميد)؟!""","""ياه يا ابو حميد ، 2.2 يعني ايه دا يا ابو حميد """
"باختصار، يا عزيزي، الـ""فانتوم"" بتاعة السبعينات،","باختصار، يا عزيزي، ال""فانتوم"" بتاعه السبعينات،"
اللي أقدم من خالك،,اللي اقدم من خالك،
أسرع مرة ونُص من الـF-35، اللي بنحارب بيها اليومين دُول،,اسرع مره ونُص من ال -35، اللي بنحارب بيها اليومين دُول،
"""(أبو حميد)، خلّيني أقولّك وأنبهك،",""" ابو حميد ، خلّيني اقولّك وانبهك،"
انت بتقع في فخ، السرعة ليست كل شيء،,انت بتقع في فخ، السرعه ليست كل شيء،
وإن كانت السرعة كل شيء، لفازت (ماجنم) في كل السباقات.,وان كانت السرعه كل شيء، لفازت ماجنم في كل السباقات.
ولكن دائمًا تجد (لاحق) في الـ(باناسونيك) يجيد الانحراف والمنحنيات!,ولكن دايمًا تجد لاحق في ال باناسونيك يجيد الانحراف والمنحنيات!
وأحيانًا طبعًا، (نكش) بيكسب، لأنه غني!,واحيانًا طبعًا، نكش بيكسب، لانه غني!
"اللي عايز أقولهولك، يا (أبو حميد) يا جاهل، السرعة ليست كل شيء.""","اللي عايز اقولهولك، يا ابو حميد يا جاهل، السرعه ليست كل شيء."""
"Bravo، يا عزيزي، انت استفدت حاجة من ""(سابق) و(لاحق)""!","، يا عزيزي، انت استفدت حاجه من "" سابق و لاحق ""!"
بالفعل، يا عزيزي، هناك عوامل كتير جدًا جدًا تخلّي الطيارة أحسن من طيارة تانية،,بالفعل، يا عزيزي، هناك عوامل كتير جدًا جدًا تخلّي الطياره احسن من طياره تانيه،
مثلًا، في حالة المقاتلات النفاثة،,مثلًا، في حاله المقاتلات النفاثه،
"فيه عامل اسمه ""تحميل الجناح""، الـWing Loading،","فيه عامل اسمه ""تحميل الجناح""، ال ،"
دا وزن الطيارة على مساحة الجناح،,دا وزن الطياره علي مساحه الجناح،
