model,qa_file,question,gold_answer,generated_answer,semantic_similarity,rouge_l,groundedness,out_of_domain,status
llama-3.1-8b-instant,gv5hDK2YQfA_QA.csv,ما الذي قيل في هذا الجزء؟,- إيه دا؟!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,gv5hDK2YQfA_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,تبني أصرحة وأضرحة،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,IxsJEffQAZA_QA.csv,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,IxsJEffQAZA_QA.csv,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,IxsJEffQAZA_QA.csv,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,IxsJEffQAZA_QA.csv,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,IxsJEffQAZA_QA.csv,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,MOEwXtL2DQ4_QA.csv,ماذا ورد في هذا الموضع من النص؟,الوضع بقى معقد جدًا بشكل استثنائي،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,MOEwXtL2DQ4_QA.csv,ما الجملة المذكورة في هذا السياق؟,ما حدش محتاج يتحرك.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,MOEwXtL2DQ4_QA.csv,كيف صيغت العبارة هنا؟,- كل حاجة بتيجي لحد البيت،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,MOEwXtL2DQ4_QA.csv,ما الذي قيل في هذا الجزء؟,ويقوم يشوف رزقه؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,MOEwXtL2DQ4_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,على الـFaceTime،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,nc8oJTETqoI_QA.csv,ماذا ورد في هذا الموضع من النص؟,دي كل الاحداثيات اللي معانا وملخص للبعثه,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,nc8oJTETqoI_QA.csv,ما الجملة المذكورة في هذا السياق؟,اكتشفته قبل ما تيجي لا لا البعثه,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,nc8oJTETqoI_QA.csv,كيف صيغت العبارة هنا؟,[موسيقى] الاستكشافيه اللي قدامي دي بايظه,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,nc8oJTETqoI_QA.csv,ما الذي قيل في هذا الجزء؟,خالص المؤن مضروبه والاتجاهات بايظه انا,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,nc8oJTETqoI_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,عايز اعرف مين المستكشف الحمار اللي كان,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,NJ-JcDcff8o_QA.csv,ماذا ورد في هذا الموضع من النص؟,"هو اللي قالّي: ""نُط""، هنُط.",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,NJ-JcDcff8o_QA.csv,ما الجملة المذكورة في هذا السياق؟,إنك تموت معانا يا رأسمالي يا سفيه!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,NJ-JcDcff8o_QA.csv,كيف صيغت العبارة هنا؟,- أيوة. اطردوه برة.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,NJ-JcDcff8o_QA.csv,ما الذي قيل في هذا الجزء؟,artificial sweeteners،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,NJ-JcDcff8o_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,السلام عليكم ورحمة الله وبركاته،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,yc7x5jNhXIQ_QA.csv,ماذا ورد في هذا الموضع من النص؟,- يا سلام! وإيه بقى اللي حصل؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,yc7x5jNhXIQ_QA.csv,ما الجملة المذكورة في هذا السياق؟,إيه الطلقة الواحدة اللي تقتل جوزي,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,yc7x5jNhXIQ_QA.csv,كيف صيغت العبارة هنا؟,في كل الناس، ولّا إيه؟!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,yc7x5jNhXIQ_QA.csv,ما الذي قيل في هذا الجزء؟,وانتي بتهربي من العربية لمّا اتضرب بالنار.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,yc7x5jNhXIQ_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,"متعدّلة بالـ""فوتوشوب""!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,z2NGnjXG5uQ_QA.csv,ماذا ورد في هذا الموضع من النص؟,- إيه؟!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,z2NGnjXG5uQ_QA.csv,ما الجملة المذكورة في هذا السياق؟,ما تعرفش أولها من آخرها.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,z2NGnjXG5uQ_QA.csv,كيف صيغت العبارة هنا؟,كل امتيازات ورفاهية المُلك ازاي!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,z2NGnjXG5uQ_QA.csv,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.1-8b-instant,z2NGnjXG5uQ_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,0urc3PabvOs_QA.csv,ماذا ورد في هذا الموضع من النص؟,"افتح موضوع جديد يا ""ميدو""، أنا مش ناقص!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,0urc3PabvOs_QA.csv,ما الجملة المذكورة في هذا السياق؟,وبعد كدا، هتنطفي هي كمان.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,0urc3PabvOs_QA.csv,كيف صيغت العبارة هنا؟,- أيوة.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,0urc3PabvOs_QA.csv,ما الذي قيل في هذا الجزء؟,- عشان كُل حاجة بتنتهي.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,0urc3PabvOs_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,- عشان الفيزيا بتقول كدا.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,3AwL93uolIA_QA.csv,ماذا ورد في النص حول هذه الجزئية؟,والساموزين والسامو عليكم!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,3AwL93uolIA_QA.csv,ما الجملة المذكورة في هذا الموضع؟,من كل مَن حرمه من حلم الساموراي...,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,3AwL93uolIA_QA.csv,كيف صيغت العبارة في النص؟,السلام عليكم ورحمة الله وبركاته،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,3AwL93uolIA_QA.csv,ما الذي قيل في هذا السياق؟,"من برنامج ""الدحّيح""!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,3AwL93uolIA_QA.csv,ما النص الحرفي المذكور هنا؟,خلّيني آخدك مش لمكان واحد،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8rcY34IA-6I_QA.csv,ما الذي ورد في النص في الفقرة رقم 1؟,نُص بني آدم، ونُص أخطبوط في التاريخ.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8rcY34IA-6I_QA.csv,ما الذي ورد في النص في الفقرة رقم 2؟,وشوية رُز صيادية،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8rcY34IA-6I_QA.csv,ما الذي ورد في النص في الفقرة رقم 3؟,هيبقى عندك قدرات خارقة،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8rcY34IA-6I_QA.csv,ما الذي ورد في النص في الفقرة رقم 4؟,يعملّه كام دلوقتي؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8rcY34IA-6I_QA.csv,ما الذي ورد في النص في الفقرة رقم 5؟,وقوم اسلقلنا الأخطبوط اللي جوا،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8ZL2AAxQmLQ_QA.csv,ماذا ورد في هذا الموضع من النص؟,"أخبار ترميم لوحة ""نابليون"" إيه؟",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8ZL2AAxQmLQ_QA.csv,ما الجملة المذكورة في هذا السياق؟,يبقى نُص جسمه بطة؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8ZL2AAxQmLQ_QA.csv,كيف صيغت العبارة هنا؟,"ما لهاش إجابة يا حضرة الـ""هير (هانز)"".",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8ZL2AAxQmLQ_QA.csv,ما الذي قيل في هذا الجزء؟,"بتاعة البطة على ""نابليون بونابرت""،",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,8ZL2AAxQmLQ_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,- أيوة...,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,ArytJ_HZ-1E_QA.csv,ماذا ورد في هذا الموضع من النص؟,يبدو إني في آخر أيامي خلاص!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,ArytJ_HZ-1E_QA.csv,ما الجملة المذكورة في هذا السياق؟,ألف سلامة يا حاج! ألف سلامة!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,ArytJ_HZ-1E_QA.csv,كيف صيغت العبارة هنا؟,"اسمع يا ""أحمد"" يا ابني،",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,ArytJ_HZ-1E_QA.csv,ما الذي قيل في هذا الجزء؟,انت كبير العِيلة،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,ArytJ_HZ-1E_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,أنا سيبتلك قصر كبير،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,DbuoaakWh7g_QA.csv,ماذا ورد في هذا الموضع من النص؟,"أنا ""هَنا""، في خدمة سموّك.",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,DbuoaakWh7g_QA.csv,ما الجملة المذكورة في هذا السياق؟,أن نستعين بخدماتك في Event.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,DbuoaakWh7g_QA.csv,كيف صيغت العبارة هنا؟,"في ""طهران"" و""زايد""،",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,DbuoaakWh7g_QA.csv,ما الذي قيل في هذا الجزء؟,بس انت عايز تزعّل الـEx طبعًا، صح؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,DbuoaakWh7g_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,مذابح Planners تانيين،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,gv5hDK2YQfA_QA.csv,ماذا ورد في هذا الموضع من النص؟,- صرح كبير،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,gv5hDK2YQfA_QA.csv,ما الجملة المذكورة في هذا السياق؟,ويزوره ملايين الناس لمّا أموت،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,gv5hDK2YQfA_QA.csv,كيف صيغت العبارة هنا؟,"- صرح إيه يا ""أمل""؟!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,gv5hDK2YQfA_QA.csv,ما الذي قيل في هذا الجزء؟,- إيه دا؟!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,gv5hDK2YQfA_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,تبني أصرحة وأضرحة،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,IxsJEffQAZA_QA.csv,في أي شهر وسنة تدور الأحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,IxsJEffQAZA_QA.csv,ما اسم الطائرة المذكورة؟,أقدم لحضرتك فخر الطيران الأمريكي الـF-35.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,IxsJEffQAZA_QA.csv,في أي ولاية جرت التجربة؟,"في ولاية ""تكساس"".",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,IxsJEffQAZA_QA.csv,ما اسم الشركة المصنعة؟,"اسمها ""لوكهيد مارتن"".",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,IxsJEffQAZA_QA.csv,لماذا كان المقدم متحمسًا؟,لأنه هيجرب الطيارة اللي هتغيّر العالم بشكل غير عادي.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,MOEwXtL2DQ4_QA.csv,ماذا ورد في هذا الموضع من النص؟,الوضع بقى معقد جدًا بشكل استثنائي،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,MOEwXtL2DQ4_QA.csv,ما الجملة المذكورة في هذا السياق؟,ما حدش محتاج يتحرك.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,MOEwXtL2DQ4_QA.csv,كيف صيغت العبارة هنا؟,- كل حاجة بتيجي لحد البيت،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,MOEwXtL2DQ4_QA.csv,ما الذي قيل في هذا الجزء؟,ويقوم يشوف رزقه؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,MOEwXtL2DQ4_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,على الـFaceTime،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,nc8oJTETqoI_QA.csv,ماذا ورد في هذا الموضع من النص؟,دي كل الاحداثيات اللي معانا وملخص للبعثه,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,nc8oJTETqoI_QA.csv,ما الجملة المذكورة في هذا السياق؟,اكتشفته قبل ما تيجي لا لا البعثه,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,nc8oJTETqoI_QA.csv,كيف صيغت العبارة هنا؟,[موسيقى] الاستكشافيه اللي قدامي دي بايظه,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,nc8oJTETqoI_QA.csv,ما الذي قيل في هذا الجزء؟,خالص المؤن مضروبه والاتجاهات بايظه انا,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,nc8oJTETqoI_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,عايز اعرف مين المستكشف الحمار اللي كان,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,NJ-JcDcff8o_QA.csv,ماذا ورد في هذا الموضع من النص؟,"هو اللي قالّي: ""نُط""، هنُط.",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,NJ-JcDcff8o_QA.csv,ما الجملة المذكورة في هذا السياق؟,إنك تموت معانا يا رأسمالي يا سفيه!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,NJ-JcDcff8o_QA.csv,كيف صيغت العبارة هنا؟,- أيوة. اطردوه برة.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,NJ-JcDcff8o_QA.csv,ما الذي قيل في هذا الجزء؟,artificial sweeteners،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,NJ-JcDcff8o_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,السلام عليكم ورحمة الله وبركاته،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,yc7x5jNhXIQ_QA.csv,ماذا ورد في هذا الموضع من النص؟,- يا سلام! وإيه بقى اللي حصل؟,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,yc7x5jNhXIQ_QA.csv,ما الجملة المذكورة في هذا السياق؟,إيه الطلقة الواحدة اللي تقتل جوزي,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,yc7x5jNhXIQ_QA.csv,كيف صيغت العبارة هنا؟,في كل الناس، ولّا إيه؟!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,yc7x5jNhXIQ_QA.csv,ما الذي قيل في هذا الجزء؟,وانتي بتهربي من العربية لمّا اتضرب بالنار.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,yc7x5jNhXIQ_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,"متعدّلة بالـ""فوتوشوب""!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,z2NGnjXG5uQ_QA.csv,ماذا ورد في هذا الموضع من النص؟,- إيه؟!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,z2NGnjXG5uQ_QA.csv,ما الجملة المذكورة في هذا السياق؟,ما تعرفش أولها من آخرها.,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,z2NGnjXG5uQ_QA.csv,كيف صيغت العبارة هنا؟,كل امتيازات ورفاهية المُلك ازاي!,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,z2NGnjXG5uQ_QA.csv,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
llama-3.3-70b-versatile,z2NGnjXG5uQ_QA.csv,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",,0,0,0,,error: answer_question() got an unexpected keyword argument 'forced_model'
